slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis-mainnet,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/polkadot?tab=overview)""]",mainnet,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/polkadot)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/polkadot)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/polkadot)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/polkadot)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/polkadot)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/polkadot)""]",mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/polkadot)""]",mainnet,,,,,,,,,
